vm,uts,ts,kbs
Citrix-11,1432188000,21-05-2015 08:00:00,11
Citrix-11,1432180800,21-05-2015 06:00:00,4
Citrix-11,1432173600,21-05-2015 04:00:00,4
Citrix-11,1432166400,21-05-2015 02:00:00,90
Citrix-11,1432159200,21-05-2015 00:00:00,4
Citrix-11,1432152000,20-05-2015 22:00:00,14
Citrix-11,1432144800,20-05-2015 20:00:00,12
Citrix-11,1432137600,20-05-2015 18:00:00,12
Citrix-11,1432130400,20-05-2015 16:00:00,5
Citrix-11,1432123200,20-05-2015 14:00:00,15
Citrix-11,1432116000,20-05-2015 12:00:00,33
Citrix-11,1432108800,20-05-2015 10:00:00,45
Citrix-11,1432101600,20-05-2015 08:00:00,60
Citrix-11,1432094400,20-05-2015 06:00:00,3
Citrix-11,1432087200,20-05-2015 04:00:00,5
Citrix-11,1432080000,20-05-2015 02:00:00,92
Citrix-11,1432072800,20-05-2015 00:00:00,24
Citrix-11,1432065600,19-05-2015 22:00:00,12
Citrix-11,1432058400,19-05-2015 20:00:00,6
Citrix-11,1432051200,19-05-2015 18:00:00,35
Citrix-11,1432044000,19-05-2015 16:00:00,4
Citrix-11,1432036800,19-05-2015 14:00:00,40
Citrix-11,1432029600,19-05-2015 12:00:00,27
Citrix-11,1432022400,19-05-2015 10:00:00,21
Citrix-11,1432015200,19-05-2015 08:00:00,21
Citrix-11,1432008000,19-05-2015 06:00:00,7
Citrix-11,1432000800,19-05-2015 04:00:00,3
Citrix-11,1431993600,19-05-2015 02:00:00,93
Citrix-11,1431986400,19-05-2015 00:00:00,3
Citrix-11,1431979200,18-05-2015 22:00:00,19
Citrix-11,1431972000,18-05-2015 20:00:00,30
Citrix-11,1431964800,18-05-2015 18:00:00,153
Citrix-11,1431957600,18-05-2015 16:00:00,31
Citrix-11,1431950400,18-05-2015 14:00:00,37
Citrix-11,1431943200,18-05-2015 12:00:00,21
Citrix-11,1431936000,18-05-2015 10:00:00,6
Citrix-11,1431928800,18-05-2015 08:00:00,22
Citrix-11,1431921600,18-05-2015 06:00:00,3
Citrix-11,1431914400,18-05-2015 04:00:00,8
Citrix-11,1431907200,18-05-2015 02:00:00,98
Citrix-11,1431900000,18-05-2015 00:00:00,6
Citrix-11,1431892800,17-05-2015 22:00:00,18
Citrix-11,1431885600,17-05-2015 20:00:00,8
Citrix-11,1431878400,17-05-2015 18:00:00,9
Citrix-11,1431871200,17-05-2015 16:00:00,28
Citrix-11,1431864000,17-05-2015 14:00:00,8
Citrix-11,1431856800,17-05-2015 12:00:00,11
Citrix-11,1431849600,17-05-2015 10:00:00,66
Citrix-11,1431842400,17-05-2015 08:00:00,3
Citrix-11,1431835200,17-05-2015 06:00:00,3
Citrix-11,1431828000,17-05-2015 04:00:00,2
Citrix-11,1431820800,17-05-2015 02:00:00,90
Citrix-11,1431813600,17-05-2015 00:00:00,5
Citrix-11,1431806400,16-05-2015 22:00:00,10
Citrix-11,1431799200,16-05-2015 20:00:00,11
Citrix-11,1431792000,16-05-2015 18:00:00,7
Citrix-11,1431784800,16-05-2015 16:00:00,28
Citrix-11,1431777600,16-05-2015 14:00:00,32
Citrix-11,1431770400,16-05-2015 12:00:00,24
Citrix-11,1431763200,16-05-2015 10:00:00,3
Citrix-11,1431756000,16-05-2015 08:00:00,3
Citrix-11,1431748800,16-05-2015 06:00:00,2
Citrix-11,1431741600,16-05-2015 04:00:00,2
Citrix-11,1431734400,16-05-2015 02:00:00,91
Citrix-11,1431727200,16-05-2015 00:00:00,2
Citrix-11,1431720000,15-05-2015 22:00:00,24
Citrix-11,1431712800,15-05-2015 20:00:00,11
Citrix-11,1431705600,15-05-2015 18:00:00,12
Citrix-11,1431698400,15-05-2015 16:00:00,7
Citrix-11,1431691200,15-05-2015 14:00:00,47
Citrix-11,1431684000,15-05-2015 12:00:00,38
Citrix-11,1431676800,15-05-2015 10:00:00,4
Citrix-11,1431669600,15-05-2015 08:00:00,3
